match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,series_id,series_type,radiant_score,dire_score,radiant_win,radiant,leagueid,name
3278707616,1494,1498632184,2640025,iG.Vitality,4,EHOME,0,0,19,10,True,,5401,The International 2017
3280002255,3122,1498677353,3715574,SG e-sports team,2672298,NoPing Esports,146535,1,21,34,False,,5401,The International 2017
3352275698,2150,1501706655,46,Team Empire,15,LGD Gaming,153131,1,20,24,False,,5401,The International 2017
3276692247,3038,1498545213,2640025,iG.Vitality,4646830,FTD.a,0,0,29,27,True,,5401,The International 2017
3370054178,3142,1502480945,3331948,LGD.Forever Young,1375614,Newbee,154570,1,24,28,False,,5401,The International 2017
3354031843,2530,1501790398,1838315,Team Secret,2108395,TNC Predator,153242,1,18,36,False,,5401,The International 2017
3368158118,6213,1502404357,1883502,Virtus.pro,2163,Team Liquid,154406,1,43,46,False,,5401,The International 2017
3280710379,2808,1498718751,726228,Vici Gaming,3331948,LGD.Forever Young,146604,1,31,17,True,,5401,The International 2017
3356214219,2871,1501891718,1333179,,2581813,Execration.安博电竞,153445,1,16,31,False,,5401,The International 2017
3356203915,2198,1501890688,3331948,LGD.Forever Young,2512249,123,153436,1,10,35,False,,5401,The International 2017
3356189302,2658,1501890649,2586976,OG,5,Invictus Gaming,153433,1,13,44,False,,5401,The International 2017
3356102779,2473,1501883363,2163,Team Liquid,2108395,TNC Predator,153425,1,22,44,False,,5401,The International 2017
3356100221,2062,1501883136,1375614,Newbee,1846548,HellRaisers,153428,1,21,9,True,,5401,The International 2017
3356044327,2108,1501879777,2108395,TNC Predator,2163,Team Liquid,153425,1,30,40,False,,5401,The International 2017
3356308437,2068,1501897986,2163,Team Liquid,46,Team Empire,153450,1,31,28,True,,5401,The International 2017
3356009819,2731,1501878164,2640025,iG.Vitality,46,Team Empire,153422,1,17,32,False,,5401,The International 2017
3355938154,2568,1501874417,2581813,Execration.安博电竞,2512249,123,153401,1,7,29,False,,5401,The International 2017
3358183864,1227,1501965032,2586976,OG,3331948,LGD.Forever Young,153641,1,4,29,False,,5401,The International 2017
3356066834,2964,1501881214,1838315,Team Secret,350190,Ascent Esports,153421,1,49,24,True,,5401,The International 2017
3355980143,1213,1501876485,2672298,NoPing Esports,39,Shopify Rebellion,153415,1,3,15,False,,5401,The International 2017
3357890369,2268,1501952342,1846548,HellRaisers,5,Invictus Gaming,153588,1,11,27,False,,5401,The International 2017
3355838924,2714,1501870371,2581813,Execration.安博电竞,2512249,123,153401,1,20,31,False,,5401,The International 2017
3355887483,2857,1501872023,1883502,Virtus.pro,1846548,HellRaisers,153394,1,26,31,True,,5401,The International 2017
3356148145,1917,1501886376,1375614,Newbee,1846548,HellRaisers,153428,1,24,17,True,,5401,The International 2017
3355751343,2988,1501866062,2108395,TNC Predator,2640025,iG.Vitality,153378,1,23,35,False,,5401,The International 2017
3355657953,2069,1501862443,2640025,iG.Vitality,2108395,TNC Predator,153378,1,8,27,False,,5401,The International 2017
3356203606,1841,1501890689,2672298,NoPing Esports,2108395,TNC Predator,153443,1,14,24,False,,5401,The International 2017
3355751279,2354,1501866080,46,Team Empire,350190,Ascent Esports,153377,1,48,16,True,,5401,The International 2017
3355805274,2222,1501868434,1883502,Virtus.pro,1846548,HellRaisers,153394,1,30,6,True,,5401,The International 2017
3356137447,1875,1501885862,2586976,OG,5,Invictus Gaming,153433,1,23,9,True,,5401,The International 2017
3355646788,2846,1501862437,39,Shopify Rebellion,1838315,Team Secret,153375,1,28,18,True,,5401,The International 2017
3355934709,2213,1501874325,1375614,Newbee,3331948,LGD.Forever Young,153405,1,16,31,False,,5401,The International 2017
3354297698,3789,1501808911,2512249,123,1846548,HellRaisers,153280,1,30,30,True,,5401,The International 2017
3370363807,1532,1502499648,15,LGD Gaming,2163,Team Liquid,154603,1,8,20,False,,5401,The International 2017
3355741305,1504,1501865651,2672298,NoPing Esports,15,LGD Gaming,153374,1,7,29,False,,5401,The International 2017
3354286673,2556,1501808227,1883502,Virtus.pro,2586976,OG,153287,1,32,12,True,,5401,The International 2017
3354292598,1951,1501808678,2581813,Execration.安博电竞,5,Invictus Gaming,153288,1,24,14,True,,5401,The International 2017
3354219214,4756,1501802497,46,Team Empire,2108395,TNC Predator,153264,1,61,43,True,,5401,The International 2017
3354220626,3861,1501802748,2640025,iG.Vitality,1838315,Team Secret,153266,1,44,24,True,,5401,The International 2017
